strong_scaling
keycount,gpucount,time
build tests
16777216,1,0.117799
16777216,2,0.116029
16777216,4,0.155443
16777216,6,0.225222
33554432,1,0.191242
33554432,2,0.16967
33554432,4,0.188548
33554432,6,0.256037
67108864,1,0.352538
67108864,2,0.270199
67108864,4,0.264221
67108864,6,0.334558
134217728,1,0.68378
134217728,2,0.487233
134217728,4,0.397077
134217728,6,0.483254
268435456,1,oom
268435456,2,0.928725
268435456,4,0.687384
268435456,6,0.713664
536870912,1,oom
536870912,2,oom
536870912,4,1.28682
536870912,6,1.40484
1073741824,1,oom
1073741824,2,oom
1073741824,4,oom
1073741824,6,oom
2147483648,1,oom
2147483648,2,oom
2147483648,4,oom
2147483648,6,oom
4294967296,1,oom
4294967296,2,oom
4294967296,4,oom
4294967296,6,oom
8589934592,1,oom
8589934592,2,oom
8589934592,4,oom
8589934592,6,oom
intersect tests
8388608,1,0.134455
8388608,2,0.125347
8388608,4,0.160779
8388608,6,0.222847
16777216,1,0.239622
16777216,2,0.194734
16777216,4,0.207718
16777216,6,0.27801
33554432,1,0.445715
33554432,2,0.328802
33554432,4,0.315266
33554432,6,0.392111
67108864,1,0.855558
67108864,2,0.595024
67108864,4,0.487712
67108864,6,0.546593
134217728,1,oom
134217728,2,1.12837
134217728,4,0.843445
134217728,6,0.892103
268435456,1,oom
268435456,2,oom
268435456,4,1.56648
268435456,6,1.56547
536870912,1,oom
536870912,2,oom
536870912,4,oom
536870912,6,oom
1073741824,1,oom
1073741824,2,oom
1073741824,4,oom
1073741824,6,oom
2147483648,1,oom
2147483648,2,oom
2147483648,4,oom
2147483648,6,oom
4294967296,1,oom
4294967296,2,oom
4294967296,4,oom
4294967296,6,oom
