strong_scaling
keycount,gpucount,time
build tests
16777216,1,0.108004
16777216,2,0.128535
16777216,4,0.151949
16777216,6,0.210372
33554432,1,0.166823
33554432,2,0.188891
33554432,4,0.188519
33554432,6,0.262038
67108864,1,0.30768
67108864,2,0.318229
67108864,4,0.270817
67108864,6,0.312811
134217728,1,0.589696
134217728,2,0.574661
134217728,4,0.457402
134217728,6,0.446614
268435456,1,oom
268435456,2,1.11285
268435456,4,0.710082
268435456,6,0.74441
536870912,1,oom
536870912,2,oom
536870912,4,1.4505
536870912,6,1.34596
1073741824,1,oom
1073741824,2,oom
1073741824,4,oom
1073741824,6,2.58401
2147483648,1,oom
2147483648,2,oom
2147483648,4,oom
2147483648,6,oom
4294967296,1,oom
4294967296,2,oom
4294967296,4,oom
4294967296,6,oom
8589934592,1,oom
8589934592,2,oom
8589934592,4,oom
8589934592,6,oom
intersect tests
8388608,1,0.120659
8388608,2,0.136953
8388608,4,
8388608,6,
16777216,1,0.213096
16777216,2,0.219328
16777216,4,
16777216,6,
33554432,1,0.398023
33554432,2,0.379649
33554432,4,
33554432,6,
67108864,1,0.764378
67108864,2,0.685209
67108864,4,
67108864,6,
134217728,1,oom
134217728,2,1.28829
134217728,4,
134217728,6,
268435456,1,oom
268435456,2,oom
268435456,4,2.19348
268435456,6,
536870912,1,oom
536870912,2,oom
536870912,4,oom
536870912,6,
1073741824,1,oom
1073741824,2,oom
1073741824,4,oom
1073741824,6,oom
2147483648,1,oom
2147483648,2,oom
2147483648,4,oom
2147483648,6,oom
4294967296,1,oom
4294967296,2,oom
4294967296,4,oom
4294967296,6,oom
