strong_scaling
keycount,gpucount,time
build tests
16777216,1,0.106833
16777216,2,0.102577
16777216,4,0.140588
16777216,6,0.210304
33554432,1,0.174606
33554432,2,0.148364
33554432,4,0.172774
33554432,6,0.232764
67108864,1,0.311993
67108864,2,0.229628
67108864,4,0.22249
67108864,6,0.285669
134217728,1,0.598513
134217728,2,0.402537
134217728,4,0.327988
134217728,6,0.397289
268435456,1,oom
268435456,2,0.754932
268435456,4,0.545191
268435456,6,0.554039
536870912,1,oom
536870912,2,oom
536870912,4,0.94636
536870912,6,0.977128
1073741824,1,oom
1073741824,2,oom
1073741824,4,oom
1073741824,6,1.69449
2147483648,1,oom
2147483648,2,oom
2147483648,4,oom
2147483648,6,oom
4294967296,1,oom
4294967296,2,oom
4294967296,4,oom
4294967296,6,oom
8589934592,1,oom
8589934592,2,oom
8589934592,4,oom
8589934592,6,oom
intersect tests
8388608,1,0.122992
8388608,2,0.112218
8388608,4,0.145363
8388608,6,0.200186
16777216,1,0.218007
16777216,2,0.181876
16777216,4,0.205061
16777216,6,0.253397
33554432,1,0.432431
33554432,2,0.283813
33554432,4,0.271012
33554432,6,0.346219
67108864,1,0.770084
67108864,2,0.508822
67108864,4,0.405867
67108864,6,0.476954
134217728,1,oom
134217728,2,0.960491
134217728,4,0.681052
134217728,6,0.734067
268435456,1,oom
268435456,2,oom
268435456,4,1.25221
268435456,6,1.19694
536870912,1,oom
536870912,2,oom
536870912,4,oom
536870912,6,2.52485
1073741824,1,oom
1073741824,2,oom
1073741824,4,oom
1073741824,6,oom
2147483648,1,oom
2147483648,2,oom
2147483648,4,oom
2147483648,6,oom
4294967296,1,oom
4294967296,2,oom
4294967296,4,oom
4294967296,6,oom
