strong_scaling
keycount,gpucount,time
build tests
16777216,1,0.0969759
16777216,2,0.126803
16777216,4,0.149055
16777216,6,0.226278
33554432,1,0.173488
33554432,2,0.196541
33554432,4,0.183395
33554432,6,0.271743
67108864,1,0.308181
67108864,2,0.318633
67108864,4,0.287973
67108864,6,0.331122
134217728,1,0.590585
134217728,2,0.579522
134217728,4,0.439403
134217728,6,0.467595
268435456,1,oom
268435456,2,1.12331
268435456,4,0.788495
268435456,6,0.748269
536870912,1,oom
536870912,2,oom
536870912,4,1.48191
536870912,6,1.32971
1073741824,1,oom
1073741824,2,oom
1073741824,4,oom
1073741824,6,2.60685
2147483648,1,oom
2147483648,2,oom
2147483648,4,oom
2147483648,6,oom
4294967296,1,oom
4294967296,2,oom
4294967296,4,oom
4294967296,6,oom
8589934592,1,oom
8589934592,2,oom
8589934592,4,oom
8589934592,6,oom
intersect tests
8388608,1,0.120788
8388608,2,0.135553
8388608,4,0.174726
8388608,6,0.224711
16777216,1,0.21467
16777216,2,0.218976
16777216,4,0.224766
16777216,6,0.280467
33554432,1,0.398316
33554432,2,0.378395
33554432,4,0.330845
33554432,6,0.386485
67108864,1,0.763929
67108864,2,0.682039
67108864,4,0.51704
67108864,6,0.550648
134217728,1,oom
134217728,2,1.30059
134217728,4,0.900709
134217728,6,0.824261
268435456,1,oom
268435456,2,oom
268435456,4,1.69238
268435456,6,1.47734
536870912,1,oom
536870912,2,oom
536870912,4,oom
536870912,6,7.28065
1073741824,1,oom
1073741824,2,oom
1073741824,4,oom
1073741824,6,oom
2147483648,1,oom
2147483648,2,oom
2147483648,4,oom
2147483648,6,oom
4294967296,1,oom
4294967296,2,oom
4294967296,4,oom
4294967296,6,oom
