strong_scaling
keycount,gpucount,time
build tests
16777215,1,0.0954308
16777215,2,0.0889851
16777215,4,0.131566
16777215,6,0.198091
33554431,1,0.142379
33554431,2,0.120385
33554431,4,0.150591
33554431,6,0.239607
67108863,1,0.246483
67108863,2,0.182457
67108863,4,0.196391
67108863,6,0.277787
134217727,1,0.468482
134217727,2,0.314322
134217727,4,0.284726
134217727,6,0.358728
268435455,1,0.910106
268435455,2,0.578649
268435455,4,0.453679
268435455,6,0.539797
536870911,1,oom
536870911,2,1.10532
536870911,4,0.810437
536870911,6,0.882033
1073741823,1,oom
1073741823,2,oom
1073741823,4,1.57352
1073741823,6,1.55205
2147483647,1,oom
2147483647,2,oom
2147483647,4,oom
2147483647,6,oom
4294967295,1,oom
4294967295,2,oom
4294967295,4,oom
4294967295,6,oom
8589934591,1,oom
8589934591,2,oom
8589934591,4,oom
8589934591,6,oom
intersect tests
8388607,1,0.0997344
8388607,2,0.095544
8388607,4,0.144414
8388607,6,0.202834
16777215,1,0.17212
16777215,2,0.138598
16777215,4,0.162568
16777215,6,0.238898
33554431,1,0.316879
33554431,2,0.224199
33554431,4,0.22014
33554431,6,0.314127
67108863,1,0.60631
67108863,2,0.421202
67108863,4,0.341405
67108863,6,0.472212
134217727,1,1.1805
134217727,2,0.737276
134217727,4,0.566562
134217727,6,0.682679
268435455,1,oom
268435455,2,1.4219
268435455,4,1.05008
268435455,6,1.12469
536870911,1,oom
536870911,2,oom
536870911,4,1.95126
536870911,6,1.99409
1073741823,1,oom
1073741823,2,oom
1073741823,4,oom
1073741823,6,oom
2147483647,1,oom
2147483647,2,oom
2147483647,4,oom
2147483647,6,oom
4294967295,1,oom
4294967295,2,oom
4294967295,4,oom
4294967295,6,oom
