weak_scaling
keycount,gpucount,time
build tests
16777216,1,0.0595481
33554432,2,0.0842087
67108864,4,0.10531
100663296,6,0.170392
33554432,1,0.112762
67108864,2,0.159017
134217728,4,0.201766
201326592,6,0.282634
67108864,1,0.221255
134217728,2,0.329222
268435456,4,0.390485
402653184,6,0.487838
134217728,1,0.457208
268435456,2,0.631541
536870912,4,0.79657
805306368,6,0.936463
268435456,1,oom
536870912,2,oom
1073741824,4,oom
1610612736,6,oom
536870912,1,oom
1073741824,2,oom
2147483648,4,oom
3221225472,6,oom
1073741824,1,oom
2147483648,2,oom
4294967296,4,oom
6442450944,6,oom
2147483648,1,oom
4294967296,2,oom
8589934592,4,oom
12884901888,6,oom
4294967296,1,oom
8589934592,2,oom
17179869184,4,oom
25769803776,6,oom
8589934592,1,oom
