weak_scaling
keycount,gpucount,time
build tests
16777216,1,0.108273
33554432,2,0.167612
67108864,4,0.254718
100663296,6,0.399987
33554432,1,0.189904
67108864,2,0.269661
134217728,4,0.398331
201326592,6,0.573466
67108864,1,0.353033
134217728,2,0.487077
268435456,4,0.699607
402653184,6,1.00768
134217728,1,0.681007
268435456,2,0.932502
536870912,4,1.29668
805306368,6,2.00739
268435456,1,oom
536870912,2,oom
1073741824,4,oom
1610612736,6,oom
536870912,1,oom
1073741824,2,oom
2147483648,4,oom
3221225472,6,oom
1073741824,1,oom
2147483648,2,oom
4294967296,4,oom
6442450944,6,oom
2147483648,1,oom
4294967296,2,oom
8589934592,4,oom
12884901888,6,oom
4294967296,1,oom
8589934592,2,oom
17179869184,4,oom
25769803776,6,oom
8589934592,1,oom
