weak_scaling
keycount,gpucount,time
build tests
16777216,1,0.0511896
33554432,2,0.0673116
67108864,4,0.100173
100663296,6,0.150477
33554432,1,0.110519
67108864,2,0.136647
134217728,4,0.190066
201326592,6,0.268022
67108864,1,0.186715
134217728,2,0.247773
268435456,4,0.359463
402653184,6,0.478474
134217728,1,0.389531
268435456,2,0.491673
536870912,4,0.710785
805306368,6,0.950604
268435456,1,oom
536870912,2,oom
1073741824,4,oom
1610612736,6,oom
536870912,1,oom
1073741824,2,oom
2147483648,4,oom
3221225472,6,oom
1073741824,1,oom
2147483648,2,oom
4294967296,4,oom
6442450944,6,oom
2147483648,1,oom
4294967296,2,oom
8589934592,4,oom
12884901888,6,oom
4294967296,1,oom
8589934592,2,oom
17179869184,4,oom
25769803776,6,oom
8589934592,1,oom
