weak_scaling
keycount,gpucount,time
build tests
16777216,1,0.107549
33554432,2,0.1603
67108864,4,0.253809
100663296,6,0.39229
33554432,1,0.195281
67108864,2,0.27453
134217728,4,0.392091
201326592,6,0.616179
67108864,1,0.352633
134217728,2,0.487137
268435456,4,0.686879
402653184,6,1.13733
134217728,1,0.683882
268435456,2,0.931047
536870912,4,1.33606
805306368,6,2.02811
268435456,1,oom
536870912,2,oom
1073741824,4,oom
1610612736,6,oom
536870912,1,oom
1073741824,2,oom
2147483648,4,oom
3221225472,6,oom
1073741824,1,oom
2147483648,2,oom
4294967296,4,oom
6442450944,6,oom
2147483648,1,oom
4294967296,2,oom
8589934592,4,oom
12884901888,6,oom
4294967296,1,oom
8589934592,2,oom
17179869184,4,oom
25769803776,6,oom
8589934592,1,oom
17179869184,2,oom
34359738368,4,oom
51539607552,6,oom
intersect tests
8388608,1,0.134179
16777216,2,0.194759
33554432,4,0.298431
50331648,6,0.483831
16777216,1,0.239533
33554432,2,0.328047
67108864,4,0.481611
100663296,6,0.691263
33554432,1,0.443138
67108864,2,0.59504
134217728,4,0.83808
201326592,6,1.18848
67108864,1,0.854776
134217728,2,1.13616
268435456,4,1.54854
402653184,6,2.27173
134217728,1,oom
268435456,2,oom
536870912,4,oom
805306368,6,oom
268435456,1,oom
536870912,2,oom
1073741824,4,oom
1610612736,6,oom
536870912,1,oom
1073741824,2,oom
2147483648,4,oom
3221225472,6,oom
1073741824,1,oom
2147483648,2,oom
4294967296,4,oom
6442450944,6,oom
2147483648,1,oom
4294967296,2,oom
8589934592,4,oom
12884901888,6,oom
4294967296,1,oom
8589934592,2,oom
17179869184,4,oom
25769803776,6,oom
