weak_scaling
keycount,gpucount,time
build tests
16777215,1,
33554430,2,
67108860,4,0.243323
100663290,6,0.380083
33554431,1,
67108862,2,
134217724,4,
201326586,6,
67108863,1,
134217726,2,0.441943
268435452,4,
402653178,6,
134217727,1,
268435454,2,
536870908,4,
805306362,6,
268435455,1,oom
536870910,2,oom
1073741820,4,oom
1610612730,6,oom
536870911,1,oom
1073741822,2,oom
2147483644,4,oom
3221225466,6,oom
1073741823,1,oom
2147483646,2,oom
4294967292,4,oom
6442450938,6,oom
2147483647,1,oom
4294967294,2,oom
8589934588,4,oom
12884901882,6,oom
4294967295,1,oom
8589934590,2,oom
17179869180,4,oom
25769803770,6,oom
8589934591,1,oom
17179869182,2,oom
34359738364,4,oom
51539607546,6,oom
intersect tests
8388607,1,
16777214,2,
33554428,4,
50331642,6,
16777215,1,
33554430,2,
67108860,4,0.459645
100663290,6,
33554431,1,
67108862,2,
134217724,4,
201326586,6,
