weak_scaling
keycount,gpucount,time
build tests
16777216,1,0.108519
33554432,2,0.226704
67108864,4,0.286104
100663296,6,0.389001
33554432,1,0.163522
67108864,2,0.317264
134217728,4,0.456765
201326592,6,0.585273
67108864,1,0.30796
134217728,2,0.577069
268435456,4,0.787425
402653184,6,1.0576
134217728,1,0.591243
268435456,2,1.11288
536870912,4,1.44923
805306368,6,1.97514
268435456,1,oom
536870912,2,oom
1073741824,4,oom
1610612736,6,oom
536870912,1,oom
1073741824,2,oom
2147483648,4,oom
3221225472,6,oom
1073741824,1,oom
2147483648,2,oom
4294967296,4,oom
6442450944,6,oom
2147483648,1,oom
4294967296,2,oom
8589934592,4,oom
12884901888,6,oom
4294967296,1,oom
8589934592,2,oom
17179869184,4,oom
25769803776,6,oom
8589934592,1,oom
17179869184,2,oom
34359738368,4,oom
51539607552,6,oom
intersect tests
8388608,1,0.120316
16777216,2,0.219223
33554432,4,0.314798
50331648,6,0.427865
16777216,1,0.213401
33554432,2,0.3814
67108864,4,0.490943
100663296,6,0.675145
33554432,1,0.395277
67108864,2,0.687054
134217728,4,0.895734
201326592,6,1.20287
67108864,1,0.762767
134217728,2,1.30739
268435456,4,1.70138
402653184,6,2.20519
134217728,1,oom
268435456,2,oom
536870912,4,oom
805306368,6,oom
268435456,1,oom
536870912,2,oom
1073741824,4,oom
1610612736,6,oom
536870912,1,oom
1073741824,2,oom
2147483648,4,oom
3221225472,6,oom
1073741824,1,oom
2147483648,2,oom
4294967296,4,oom
6442450944,6,oom
2147483648,1,oom
4294967296,2,oom
8589934592,4,oom
12884901888,6,oom
4294967296,1,oom
8589934592,2,oom
17179869184,4,oom
25769803776,6,oom
