weak_scaling
keycount,gpucount,time
build tests
16777216,1,0.0512015
33554432,2,0.0674771
67108864,4,0.0971747
100663296,6,0.155569
33554432,1,0.0968741
67108864,2,0.127369
134217728,4,0.188128
201326592,6,0.262249
67108864,1,0.18598
134217728,2,0.246687
268435456,4,0.351399
402653184,6,0.515817
134217728,1,0
268435456,2,0
536870912,4,0
805306368,6,0
268435456,1,oom
536870912,2,oom
1073741824,4,oom
1610612736,6,oom
536870912,1,oom
1073741824,2,oom
2147483648,4,oom
3221225472,6,oom
1073741824,1,oom
2147483648,2,oom
4294967296,4,oom
6442450944,6,oom
2147483648,1,oom
4294967296,2,oom
8589934592,4,oom
12884901888,6,oom
4294967296,1,oom
8589934592,2,oom
17179869184,4,oom
25769803776,6,oom
8589934592,1,oom
17179869184,2,oom
34359738368,4,oom
51539607552,6,oom
intersect tests
8388608,1,0.0528657
16777216,2,0.0732395
33554432,4,0.111982
50331648,6,0.167762
16777216,1,0.108325
33554432,2,0.151321
67108864,4,0.220111
100663296,6,0.334965
33554432,1,0.204522
67108864,2,0.274599
134217728,4,0.428803
201326592,6,0.625772
67108864,1,0.393808
134217728,2,0.532494
268435456,4,0.810335
402653184,6,1.11676
134217728,1,oom
268435456,2,oom
536870912,4,oom
805306368,6,oom
268435456,1,oom
536870912,2,oom
1073741824,4,oom
1610612736,6,oom
536870912,1,oom
1073741824,2,oom
2147483648,4,oom
3221225472,6,oom
1073741824,1,oom
2147483648,2,oom
4294967296,4,oom
6442450944,6,oom
2147483648,1,oom
4294967296,2,oom
8589934592,4,oom
12884901888,6,oom
4294967296,1,oom
8589934592,2,oom
17179869184,4,oom
25769803776,6,oom
