weak_scaling
keycount,gpucount,time
build tests
16777216,1,0.118182
33554432,2,0.226578
67108864,4,0.358411
100663296,6,0.558902
33554432,1,0.186344
67108864,2,0.39718
134217728,4,0.608296
201326592,6,0.880609
67108864,1,0.346708
134217728,2,0.706388
268435456,4,1.09443
402653184,6,1.63428
134217728,1,0.672339
268435456,2,1.36429
536870912,4,2.08417
805306368,6,3.04765
268435456,1,oom
536870912,2,oom
1073741824,4,oom
1610612736,6,oom
536870912,1,oom
1073741824,2,oom
2147483648,4,oom
3221225472,6,oom
1073741824,1,oom
2147483648,2,oom
4294967296,4,oom
6442450944,6,oom
2147483648,1,oom
4294967296,2,oom
8589934592,4,oom
12884901888,6,oom
4294967296,1,oom
8589934592,2,oom
17179869184,4,oom
25769803776,6,oom
8589934592,1,oom
17179869184,2,oom
34359738368,4,oom
51539607552,6,oom
intersect tests
8388608,1,oom
16777216,2,0.258191
33554432,4,
50331648,6,
16777216,1,oom
33554432,2,0.45503
67108864,4,
100663296,6,
33554432,1,oom
67108864,2,0.820626
134217728,4,
201326592,6,
67108864,1,oom
134217728,2,1.56745
268435456,4,
402653184,6,
134217728,1,oom
268435456,2,oom
536870912,4,oom
805306368,6,oom
268435456,1,oom
536870912,2,oom
1073741824,4,oom
1610612736,6,oom
536870912,1,oom
1073741824,2,oom
2147483648,4,oom
3221225472,6,oom
1073741824,1,oom
2147483648,2,oom
4294967296,4,oom
6442450944,6,oom
2147483648,1,oom
4294967296,2,oom
8589934592,4,oom
12884901888,6,oom
4294967296,1,oom
8589934592,2,oom
17179869184,4,oom
25769803776,6,oom
