weak_scaling
keycount,gpucount,time
build tests
16777216,1,0.10661
33554432,2,0.160048
67108864,4,0.251656
100663296,6,0.377014
33554432,1,0.18957
67108864,2,0.273133
134217728,4,0.408853
201326592,6,0.592476
67108864,1,0.35163
134217728,2,0.486193
268435456,4,0.682008
402653184,6,0.997357
134217728,1,0.683453
268435456,2,0.932809
536870912,4,1.2786
805306368,6,2.06603
268435456,1,oom
536870912,2,oom
1073741824,4,oom
1610612736,6,oom
536870912,1,oom
1073741824,2,oom
2147483648,4,oom
3221225472,6,oom
1073741824,1,oom
2147483648,2,oom
4294967296,4,oom
6442450944,6,oom
2147483648,1,oom
4294967296,2,oom
8589934592,4,oom
12884901888,6,oom
4294967296,1,oom
8589934592,2,oom
17179869184,4,oom
25769803776,6,oom
8589934592,1,oom
17179869184,2,oom
34359738368,4,oom
51539607552,6,oom
intersect tests
8388608,1,0.134407
16777216,2,0.195213
33554432,4,0.299607
50331648,6,0.467632
16777216,1,0.23958
33554432,2,0.327911
67108864,4,0.48221
100663296,6,0.74969
33554432,1,0.445425
67108864,2,0.595221
134217728,4,0.82845
201326592,6,1.19742
67108864,1,0.853386
134217728,2,1.13241
268435456,4,1.58391
402653184,6,2.22943
134217728,1,oom
268435456,2,oom
536870912,4,oom
805306368,6,oom
268435456,1,oom
536870912,2,oom
1073741824,4,oom
1610612736,6,oom
536870912,1,oom
1073741824,2,oom
2147483648,4,oom
3221225472,6,oom
1073741824,1,oom
2147483648,2,oom
4294967296,4,oom
6442450944,6,oom
2147483648,1,oom
4294967296,2,oom
8589934592,4,oom
12884901888,6,oom
4294967296,1,oom
8589934592,2,oom
17179869184,4,oom
25769803776,6,oom
