weak_scaling
keycount,gpucount,time
build tests
16777216,1,0.0957622
33554432,2,0.184404
67108864,4,0.27666
100663296,6,0.39563
33554432,1,0.166481
67108864,2,0.30507
134217728,4,0.436879
201326592,6,0.622011
67108864,1,0.307767
134217728,2,0.563265
268435456,4,0.767445
402653184,6,1.10122
134217728,1,0.584941
268435456,2,1.0747
536870912,4,1.45071
805306368,6,2.0342
268435456,1,oom
536870912,2,oom
1073741824,4,oom
1610612736,6,oom
536870912,1,oom
1073741824,2,oom
2147483648,4,oom
3221225472,6,oom
1073741824,1,oom
2147483648,2,oom
4294967296,4,oom
6442450944,6,oom
2147483648,1,oom
4294967296,2,oom
8589934592,4,oom
12884901888,6,oom
4294967296,1,oom
8589934592,2,oom
17179869184,4,oom
25769803776,6,oom
8589934592,1,oom
17179869184,2,oom
34359738368,4,oom
51539607552,6,oom
intersect tests
8388608,1,oom
16777216,2,0.21192
33554432,4,
50331648,6,
16777216,1,oom
33554432,2,0.367811
67108864,4,
100663296,6,
33554432,1,oom
67108864,2,0.666213
134217728,4,
201326592,6,
67108864,1,oom
134217728,2,1.27243
268435456,4,
402653184,6,
134217728,1,oom
268435456,2,oom
536870912,4,oom
805306368,6,oom
268435456,1,oom
536870912,2,oom
1073741824,4,oom
1610612736,6,oom
536870912,1,oom
1073741824,2,oom
2147483648,4,oom
3221225472,6,oom
1073741824,1,oom
2147483648,2,oom
4294967296,4,oom
6442450944,6,oom
2147483648,1,oom
4294967296,2,oom
8589934592,4,oom
12884901888,6,oom
4294967296,1,oom
8589934592,2,oom
17179869184,4,oom
25769803776,6,oom
