weak_scaling
keycount,gpucount,time
build tests
16777216,1,0.0974198
33554432,2,0.138325
67108864,4,0.227772
100663296,6,0.346397
33554432,1,0.169008
67108864,2,0.227001
134217728,4,0.326483
201326592,6,0.501865
67108864,1,0.312034
134217728,2,0.402695
268435456,4,0.546671
402653184,6,0.771343
134217728,1,0.595269
268435456,2,0.755112
536870912,4,0.959943
805306368,6,1.34188
268435456,1,oom
536870912,2,oom
1073741824,4,oom
1610612736,6,oom
536870912,1,oom
1073741824,2,oom
2147483648,4,oom
3221225472,6,oom
1073741824,1,oom
2147483648,2,oom
4294967296,4,oom
6442450944,6,oom
2147483648,1,oom
4294967296,2,oom
8589934592,4,oom
12884901888,6,oom
4294967296,1,oom
8589934592,2,oom
17179869184,4,oom
25769803776,6,oom
8589934592,1,oom
17179869184,2,oom
34359738368,4,oom
51539607552,6,oom
intersect tests
8388608,1,0.132152
16777216,2,0.182815
33554432,4,0.272315
50331648,6,0.399214
16777216,1,0.21789
33554432,2,0.283125
67108864,4,0.405042
100663296,6,0.594088
33554432,1,0.403284
67108864,2,0.507868
134217728,4,0.67662
201326592,6,0.991082
67108864,1,0.77093
134217728,2,0.958516
268435456,4,1.24785
402653184,6,1.71595
134217728,1,oom
268435456,2,oom
536870912,4,oom
805306368,6,oom
268435456,1,oom
536870912,2,oom
1073741824,4,oom
1610612736,6,oom
536870912,1,oom
1073741824,2,oom
2147483648,4,oom
3221225472,6,oom
1073741824,1,oom
2147483648,2,oom
4294967296,4,oom
6442450944,6,oom
2147483648,1,oom
4294967296,2,oom
8589934592,4,oom
12884901888,6,oom
4294967296,1,oom
8589934592,2,oom
17179869184,4,oom
25769803776,6,oom
