keycount,gpucount,time
build tests
16777216,1,
33554432,2,
67108864,4,
100663296,6,
33554432,1,
67108864,2,
134217728,4,
201326592,6,
67108864,1,
134217728,2,
268435456,4,
402653184,6,
134217728,1,
268435456,2,
536870912,4,
805306368,6,
268435456,1,
536870912,2,
1073741824,4,
1610612736,6,
536870912,1,
1073741824,2,
2147483648,4,
3221225472,6,
1073741824,1,
2147483648,2,
4294967296,4,
6442450944,6,
2147483648,1,
4294967296,2,
8589934592,4,
12884901888,6,
4294967296,1,
8589934592,2,
17179869184,4,
25769803776,6,
8589934592,1,
17179869184,2,
34359738368,4,
51539607552,6,
intersect tests
8388608,1,
16777216,2,
33554432,4,
50331648,6,
16777216,1,
33554432,2,
67108864,4,
100663296,6,
33554432,1,
67108864,2,
134217728,4,
201326592,6,
67108864,1,
134217728,2,
268435456,4,
402653184,6,
134217728,1,
268435456,2,
536870912,4,
805306368,6,
268435456,1,
536870912,2,
1073741824,4,
1610612736,6,
536870912,1,
1073741824,2,
2147483648,4,
3221225472,6,
1073741824,1,
2147483648,2,
4294967296,4,
6442450944,6,
2147483648,1,
4294967296,2,
8589934592,4,
12884901888,6,
4294967296,1,
8589934592,2,
17179869184,4,
25769803776,6,
