keycount,gpucount,time
build tests
16777216,1,0.0550342
33554432,2,0.0887098
67108864,4,0.136453
33554432,1,0.110898
67108864,2,0.172355
134217728,4,0.273058
67108864,1,0.234078
134217728,2,0.352449
268435456,4,0.553004
134217728,1,0.493414
268435456,2,0.735581
536870912,4,1.20484
268435456,1,
536870912,2,
1073741824,4,
536870912,1,
1073741824,2,
2147483648,4,
1073741824,1,
2147483648,2,
4294967296,4,
2147483648,1,
4294967296,2,
8589934592,4,
4294967296,1,
8589934592,2,
17179869184,4,
8589934592,1,
17179869184,2,
34359738368,4,
intersect tests
8388608,1,0.0626052
16777216,2,0.106463
33554432,4,0.166894
16777216,1,0.121233
33554432,2,0.202649
67108864,4,0.311788
33554432,1,0.24433
67108864,2,0.384767
134217728,4,0.601357
67108864,1,0.513395
134217728,2,0.776203
268435456,4,1.19648
134217728,1,
268435456,2,
536870912,4,
268435456,1,
536870912,2,
1073741824,4,
536870912,1,
1073741824,2,
2147483648,4,
1073741824,1,
2147483648,2,
4294967296,4,
2147483648,1,
4294967296,2,
8589934592,4,
4294967296,1,
8589934592,2,
17179869184,4,
