keycount,gpucount,time
build tests
16777216,1,0.0549517
33554432,2,0.089572
67108864,4,0.134217
33554432,1,0.111125
67108864,2,0.173704
134217728,4,0.267629
67108864,1,0.234303
134217728,2,0.35298
268435456,4,0.523599
134217728,1,0.493162
268435456,2,0.730871
536870912,4,1.08781
268435456,1,
536870912,2,
1073741824,4,
536870912,1,
1073741824,2,
2147483648,4,
1073741824,1,
2147483648,2,
4294967296,4,
2147483648,1,
4294967296,2,
8589934592,4,
4294967296,1,
8589934592,2,
17179869184,4,
8589934592,1,
17179869184,2,
34359738368,4,
intersect tests
8388608,1,0.062641
16777216,2,0.106305
33554432,4,0.164282
16777216,1,0.12105
33554432,2,0.196466
67108864,4,0.311198
33554432,1,0.24426
67108864,2,0.379756
134217728,4,0.593349
67108864,1,0.513409
134217728,2,0.777065
268435456,4,1.20297
134217728,1,
268435456,2,
536870912,4,
268435456,1,
536870912,2,
1073741824,4,
536870912,1,
1073741824,2,
2147483648,4,
1073741824,1,
2147483648,2,
4294967296,4,
2147483648,1,
4294967296,2,
8589934592,4,
4294967296,1,
8589934592,2,
17179869184,4,
